Rec_1_color_r,Rec_1_color_g,Rec_1_color_b,Rec_2_color_r,Rec_2_color_g,Rec_2_color_b,Rec_3_color_r,Rec_3_color_g,Rec_3_color_b,concentration
253.8253931,214.4652692,65.39437136,211.8961384,199.5851316,170.0546016,74.27338188,123.4397116,175.343483,0.001
253.8452912,214.5359607,64.96158383,212.0109541,199.5780495,169.2107977,74.12046136,123.5059159,175.3573143,0.001
253.812894,214.7670736,65.66523863,211.8538042,199.6033187,169.59323,74.2076038,123.5343538,174.7451915,0.001
253.8200381,214.6108429,64.95118927,211.9589749,199.4535758,170.183799,73.94952006,123.6227309,175.343483,0.001
253.812894,214.5767414,65.79228874,211.9138512,199.8648613,169.6811986,73.99908913,123.3579642,174.7299734,0.001
253.8296942,214.7811626,65.42098095,212.1608669,199.6720854,169.615337,73.99908913,123.4402755,174.6964055,0.001
253.8259504,214.4445246,65.25945798,211.9589749,199.5510277,170.0546016,74.27517071,123.4168936,175.1441466,0.001
253.8259504,214.5767414,65.39437136,211.70841,199.9292726,169.6811986,74.2076038,123.4168936,174.7299734,0.001
253.812894,214.6186908,65.47405453,212.0596406,199.9292726,170.0546016,74.2215511,123.4397116,174.6964055,0.001
253.8060433,214.5359607,65.25945798,211.9997978,199.9292726,169.7252637,74.03508929,123.5119138,174.6114573,0.001
253.8006661,212.2009493,67.67054194,202.4880644,189.6340221,176.848026,72.24163006,121.807739,180.9918274,0.0015
253.7812604,212.1382045,68.03901573,202.3414121,189.4315716,176.778772,72.39114992,121.8990157,180.5911184,0.0015
253.7812604,212.3837241,67.63070281,201.6128604,189.6340221,176.7958049,72.16053516,121.7461796,180.4705596,0.0015
253.8008554,212.1382045,67.50282626,201.6792782,189.691717,175.9757222,72.16053516,121.807739,181.0433157,0.0015
253.8063822,212.3195738,67.57340567,202.1768575,189.3311019,176.4026974,72.22856019,121.6511846,180.9918274,0.0015
253.8063822,212.1382045,67.45651561,202.0874459,189.4315716,176.4855265,72.3696361,121.7662149,180.5902979,0.0015
